mantaghe,tedad kol tabaghat,vahed,Mablaghe kol,metri,tabaghe,zir bana,khab,Balkon,telephone,ashpazkhaneh,open,behdashti,kafpoosh,parking,anbari,sen,nama,sanad,گاز,آسانسور,آیفون تصویری,کولر,درب ریموت کنترل,شوفاژ,پکیج,باز سازی شده,جکوزی,سونا,استخر,لابی,داکت اسپلیت,چیلر,روف گاردن,مسترروم,فاقد آسانسور,اسپلیت,سرویس مستخدم: سرايدار,سالن اجتماعات,فن کوئل,سالن بدنسازی,دوربین مداربسته,برق اضطراری,فلت,گرمایشی از کف,اعلام حریق,اطفاء حریق,جاروبرقی مرکزی,درب ضد سرقت,لندری,مبله,فروش با مستاجر,آنتن مرکزی,حیاط خلوت,سرویس مستخدم: دارد,باربیکیو,تابلو خور,سالن کنفرانس,سرویس مستخدم: نگهبان,هواساز,ماهواره مرکزی,شوتینگ زباله,سرویس مستخدم: لابي من,سرویس مستخدم: نگهبان/سرايدار
Mirdamad,5,1,41250000000,250000000,1,165,3,1,1,MDF,1,Persian-Western,Ceramic,1,1,0-5,Stone,Personal,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darrus,7,2,,,7,345,4,1,1,Furnished,1,Persian-Western,Stone,1,1,5-10,Stone,Guidance Endowment,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mirdamad,6,2,7.15E+13,2.75E+11,3,260,3,1,1,Membrane,1,Persian-Western,Stone,1,1,0-5,Stone,Personal,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ekhtiarieh,4,1,10000000000,185180000,1,54,1,0,1,Membrane,0,Persian,Stone,0,0,0-5,Stone,Personal,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Kamranieh,5,2,75000000000,249160000,3,301,4,1,1,MDF,1,Persian-Western,Stone,1,1,15-20,Stone,Personal,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niavaran,6,2,48840000000,330000000,3,148,3,1,1,MDF,1,Persian-Western,Stone,1,1,0-5,Classic,Personal,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mirdamad,6,2,7.15E+13,2.75E+11,3,260,3,1,1,Membrane,1,Persian-Western,Stone,1,1,0-5,Stone,Personal,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gheytarieh,8,5,37000000000,197860000,8,187,3,0,1,MDF,1,Persian-Western,Stone,1,1,20-30,Stone,Personal,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darrus,9,2,42800000000,257830000,3,166,2,1,1,MDF,1,Persian-Western,Ceramic,1,1,10-15,Stone,Personal,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gheytarieh,6,4,,,2,115,2,0,1,MDF,1,Western,Stone,1,1,0-5,Stone,Personal,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gheytarieh,6,2,18000000000,173070000,1,104,2,1,1,MDF,1,Persian-Western,Ceramic,1,1,20-30,Stone,Personal,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niavaran,6,2,40000000000,392150000,5,102,1,1,1,MDF,1,Persian-Western,Stone,1,1,5-10,Stone,Residential,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darrus,10,4,20700000000,150000000,2,138,2,1,1,Membrane,1,Persian-Western,Ceramic,0,0,30+,Roman,Personal,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ekhtiarieh,4,2,28640000000,198880000,2,144,3,1,1,MDF,1,Persian-Western,Parquet,1,1,10-15,Stone,Personal,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ekhtiarieh,3,2,25600000000,281310000,1,91,2,1,1,Pantry,0,Western,Ceramic,0,1,30+,Stone,Residential,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gheytarieh,4,1,25250000000,125000000,4,202,4,0,1,MDF,1,Persian-Western,Ceramic,0,0,30+,Stone,Personal,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gheytarieh,5,1,34000000000,160370000,3,212,4,0,1,MDF,1,Persian-Western,Ceramic,1,1,10-15,Stone,Personal,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aghdasieh,4,1,18000000000,187500000,2,96,2,1,1,MDF,1,Persian-Western,Stone,1,1,0-5,Stone,Personal,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pasdaran,4,,16835000000,185000000,4,91,2,1,1,MDF,1,Persian-Western,Ceramic,1,1,0-5,Stone,Personal,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tajrish,5,2,47600000000,280000000,3,170,3,0,1,High-gloss,1,Persian-Western,Stone,1,1,0-5,Stone,Personal,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Farmanieh,9,3,30000000000,352940000,,85,2,1,1,Neo-classic,1,Persian-Western,Stone,1,1,10-15,Stone,Personal,1,1,0,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niavaran,11,4,52000000000,325000000,8,160,2,1,1,High-gloss,1,Persian-Western,Stone,1,1,10-15,Stone,Personal,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tajrish,5,2,47600000000,280000000,3,170,3,0,1,High-gloss,1,Persian-Western,Stone,1,1,0-5,Stone,Personal,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gheytarieh,5,3,39780000000,260000000,5,153,3,1,1,MDF,1,Persian-Western,Laminate,1,1,10-15,Composite,Personal,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mirdamad,5,1,41250000000,250000000,1,165,3,1,1,MDF,1,Persian-Western,Ceramic,1,1,0-5,Stone,Personal,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mirdamad,5,2,16000000000,172040000,4,93,1,0,1,Pantry,0,Persian,Ceramic,1,0,30+,Stone,Residential,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Niavaran,5,1,19300000000,169290000,3,114,3,1,1,High-gloss,1,Persian-Western,Ceramic,1,1,0-5,Stone,Personal,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unknown,,2,21400000000,200000000,2,107,2,0,1,MDF,1,Persian-Western,Stone,1,1,10-15,Stone,Personal,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aghdasieh,4,1,18000000000,187500000,2,96,2,1,1,MDF,1,Persian-Western,Stone,1,1,0-5,Stone,Personal,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
